"Convergence history of Velocity Magnitude on miao31 etc. (in SI units)"
"Iteration" "Sum Velocity Magnitude"
("Iteration" "Sum Velocity Magnitude")
100 91.01621033618937
200 96.25194382542941
300 88.01353656100878
400 88.99552088671216
500 77.01117927441143
600 91.17070773528305
700 86.91405301603241
800 74.80476786005244
900 82.81123392895948
1000 80.88153029388889
1100 78.96176364450136
1200 68.85719636275246
1300 103.1817450289696
1400 97.5461010306812
1500 93.89281743349662
1600 86.38706080962241
1700 78.19691522285221
1800 106.0603652826556
1900 100.8328570451812
2000 92.99366327541038
2100 84.09134151831348
2200 88.89913618052059
2300 92.92633342118893
2400 81.31459202183504
2500 82.34696206455632
2600 86.82564955367067
2700 93.50389546909486
2800 90.34080188692789
2900 88.48036219054873
3000 76.28722921968745
3100 82.19799218556314
3200 98.61725091193102
3300 81.14295353146187
3400 84.65590349277986
3500 78.69217583180617
3600 84.4053299775119
3700 95.35477592746949
3800 100.3050417115282
3900 94.40670150856434
4000 90.75363773171426
4100 76.18195995342353
4200 82.93747676301598
4300 80.80890282193717
4400 80.34611782325459
4500 83.37127176790844
4600 85.81759867403809
4700 65.02826267975477
4800 61.37965952141484
4900 69.30420846829998
5000 78.98204720375713
5100 94.55051779872862
5200 79.27400209486058
5300 96.25362658302122
5400 92.01018592434146
5500 76.00538329806099
5600 84.22313454680315
5700 70.11146715639791
5800 94.01029583790557
5900 90.38206819767819
6000 77.75001688466952
6100 80.86220471720875
6200 105.5189119001927
6300 78.8276599758548
6400 77.50529070411065
6500 97.60642796851897
6600 78.41271784978909
6700 89.75862675347598
6800 75.75507815661152
6900 77.52174826647139
7000 74.26645914558671
7100 85.17425252320159
7200 87.32393611904334
7300 81.05910328124153
7400 84.10241081960353
7500 72.60704085675313
7600 76.35283747615408
7700 93.84848251789568
7800 94.70494594827403
7900 78.18650483139963
8000 82.5558495922125
8100 70.3990718822937
8200 77.1109032495269
8300 85.04795279699428
8400 79.39284562723628
8500 96.28813023271817
8600 95.18130117246395
8700 89.16172185782887
8800 74.42709758403532
8900 89.13162526226328
9000 92.19421535298973
9100 91.49688670737406
9200 83.80963673937137
9300 71.50773970795524
9400 107.5212028066745
