"Convergence history of Velocity Magnitude on line_1 (in SI units)"
"Iteration" "Facet Average Velocity Magnitude"
("Iteration" "Facet Average Velocity Magnitude")
100 3.521346952703519
200 4.761427494820225
300 4.157349816835983
400 4.836898679315155
500 3.63567141127192
600 3.701955583616761
700 3.865545989986841
800 4.762948483478959
900 3.964355239044363
1000 3.999592766640571
1100 4.577294260098613
1200 4.606047781713824
1300 4.061151158290436
1400 2.849561506053753
1500 3.741408022216916
1600 3.679125190597022
1700 5.235404866005496
1800 4.037677096468693
1900 3.227537139678956
2000 4.447206469732293
2100 4.936937212833209
2200 6.274857127551464
2300 6.052664742450231
2400 5.550475457883592
2500 4.037651039122619
2600 5.205751489081471
2700 4.509679763163692
2800 6.436061043417362
2900 6.428035927086239
3000 5.580621047756414
3100 4.980017747280172
3200 3.01348031925244
3300 3.846588889973946
3400 4.453953894270184
3500 3.694164951735669
3600 3.798820494482882
3700 3.784341758576368
3800 3.196044987771358
3900 4.147167017164882
4000 2.838760598139179
4100 4.263895780079227
4200 4.815987794555612
4300 2.882168383358607
4400 4.00871143218037
4500 3.157257596560378
4600 4.268994357206651
4700 4.040404395983834
4800 4.007684536459378
4900 2.665012816342945
5000 2.87690795022867
5100 3.5357766263362
5200 6.405104111684071
5300 4.137090679619606
5400 4.532708592543522
5500 4.236322055715181
5600 6.200647263469951
5700 2.251567519879221
5800 3.579680032661667
5900 3.978090951554732
6000 3.275412913103543
6100 5.944400869147059
6200 6.169420234991342
6300 3.579742317743281
6400 5.771652673984464
6500 4.4918464970936
6600 6.394674264826995
6700 3.239840685532349
6800 2.856251831041487
6900 5.469862352130299
7000 4.305224032501451
7100 4.8331686475373
7200 3.221608011651609
7300 4.756447055420617
7400 5.013021263624521
7500 3.295546670648462
7600 5.271667813654462
7700 3.724425767911492
7800 3.083371617300866
7900 2.524263996732266
8000 5.155926016275832
8100 6.51272994598181
8200 2.975166802792137
8300 4.692694398429845
8400 3.422881897502498
8500 5.472250210953291
8600 5.199093293470836
8700 4.745007886462507
8800 5.458418970111122
8900 4.33277176133277
9000 3.488703649887228
9100 7.106014220131446
9200 5.769134202335844
9300 4.472063028242275
9400 4.029918041257253
9500 3.183837549140569
9600 3.460600346190553
9700 5.018158761044526
9800 3.604221028473556
9900 6.115964481549999
10000 3.020711871704194
10100 5.58466678121526
10200 5.922302765034238
10300 4.54586803206759
10400 3.12759633386797
10500 5.433428012121163
10600 2.917276219301201
10700 4.084162238419107
10800 4.318244577770898
10900 4.203789553713556
11000 4.532989666369408
11100 3.006734630641135
11200 6.698072465938299
11300 3.544603291467744
11400 2.420871698083467
11500 4.258965446659787
11600 4.556974940631361
11700 5.721501521530425
11800 2.90531390253556
11900 5.022246480352156
12000 5.058400034580129
12100 4.982276936037243
12200 2.432924387499718
12300 3.39403527789478
12400 3.905638793036355
12500 4.962872634082134
12600 5.137841978235308
12700 5.930871758564427
12800 3.048521375673862
12900 3.57179216997213
13000 4.215363667999923
13100 5.652610139803242
13200 5.396826342031826
13300 3.865146389262938
13400 3.747323031207347
13500 5.22408971896645
13600 2.606433352771437
13700 3.505877745694541
13800 5.795114253269399
13900 4.200100914200086
14000 4.834549801768527
14100 2.261727017011544
14200 3.44162379367871
14300 8.068243432485072
14400 4.384638351003506
14500 5.280307171578452
14600 5.463467455564593
14700 3.312912340367088
14800 4.927110521644242
14900 3.357430047831354
15000 5.473129008177528
15100 4.342961045560236
