"Convergence history of Velocity Magnitude on xikou (in SI units)"
"Iteration" "Facet Average Velocity Magnitude"
("Iteration" "Facet Average Velocity Magnitude")
100 26.63375219186006
200 24.43508097386306
300 22.40421664729531
400 20.66414200196035
500 17.89554484461607
600 22.75446022167526
700 25.32101698363164
800 24.38547482062431
900 24.13100063571408
1000 24.26458349870316
1100 21.29504368884568
1200 28.32293589247935
1300 20.88061488643062
1400 22.0037699611769
1500 25.70378805262927
1600 22.04298742045624
1700 24.32796756041094
1800 24.85003315385901
1900 18.25841269785218
2000 25.45181328597069
2100 23.07173232849684
2200 23.33834335047267
2300 22.85456386465362
2400 23.29097684910136
2500 23.3151692935099
2600 26.51075365648253
2700 25.01084718655828
2800 22.7936620424402
2900 26.00684845288837
3000 24.5369511787901
3100 27.05858247812705
3200 25.96526503303028
3300 24.00148300776757
3400 23.98946190508754
3500 25.91037354510273
3600 24.20397515759454
3700 19.88231648408457
3800 18.65557696784652
3900 20.02694877559135
4000 25.2504358981443
4100 25.99505550265284
4200 23.76959965870198
4300 18.83334991859727
4400 22.38652162757884
4500 21.98816585360742
4600 25.33287826654488
4700 25.89450994460375
4800 21.55555718826787
4900 26.7973449849558
5000 22.29555004134943
5100 26.82702527517873
5200 28.69738289915114
5300 25.39421759245681
5400 15.81976635957406
5500 24.48295452558569
5600 26.01477456221316
5700 24.25951308945721
5800 23.32364828917439
5900 21.73341662294145
6000 22.6540349066281
6100 25.12469509910881
6200 23.74833860703993
6300 22.14641177254579
6400 26.14923417173063
6500 27.53727383834017
6600 23.15285318077117
6700 27.49725971361949
6800 23.79191685828642
6900 22.90304864264138
7000 22.78613069952412
7100 24.82271451882769
7200 21.78742947083066
7300 25.53306971529735
7400 15.62545707557796
7500 19.81103633286691
7600 20.14761854829926
7700 22.26265030552783
7800 20.99017365364689
7900 24.75169855355048
8000 22.83339181368688
8100 24.55084822135295
8200 24.08405243390467
8300 25.43026119038971
8400 22.12827684740257
8500 24.19446493934549
8600 26.44026499068666
8700 24.85229517820855
8800 25.12600771170197
8900 24.24815437092232
9000 19.67860483712753
9100 24.30424936377395
9200 25.33216839253909
9300 17.49881926577196
9400 23.91795233469557
9500 21.19012327800056
9600 20.16422476012479
9700 25.25139640236283
9800 23.40635016040774
9900 23.42960462190277
10000 22.17940569470677
10100 22.9787408977114
10200 23.3456707866593
10300 23.48796132974866
10400 23.18101790193594
10500 24.92554711841773
10600 22.29163781293737
10700 24.12017449416945
10800 24.50219474861688
10900 26.81712321814799
11000 29.16536606961584
11100 28.12324145211348
11200 28.30581979768926
11300 25.1369712062829
11400 25.08688343901131
11500 24.0709789382996
11600 24.46818172402633
11700 25.16840961134664
11800 20.90950471838581
11900 20.9640691712463
12000 23.03441451887492
12100 27.79665736940641
12200 23.1218633347292
12300 26.05098920632105
12400 23.73015880355938
12500 23.12189559543751
12600 23.32760168406104
12700 23.13089562749303
12800 24.04039725175774
12900 26.59582741792946
13000 25.92354448838717
13100 26.26451857937253
13200 23.44679373069141
13300 23.34477135662116
13400 22.40727279947966
13500 24.48871365685294
13600 22.99173026528593
13700 23.25564044447367
13800 24.15645534919956
13900 19.29032517773492
14000 25.29250888094507
14100 22.30961366186342
14200 25.91583952662936
14300 24.05342574172736
14400 22.60735996394294
14500 26.05791991784976
14600 25.80784134380995
14700 24.37357519671431
14800 19.16946936611102
14900 26.12614556197497
15000 24.35391904142712
15100 27.77718686847679
