"Convergence history of Velocity Magnitude on cirpoint2 (in SI units)"
"Iteration" "Sum Velocity Magnitude"
("Iteration" "Sum Velocity Magnitude")
100 10.68625255917125
200 12.0635595015657
300 10.8794867098713
400 11.29322817496393
500 11.52181697416829
600 11.40685817194143
700 11.08553105711226
800 11.74704768947718
900 9.773819183547868
1000 10.48768406613424
1100 8.291366504345968
1200 10.00400675711065
1300 12.06326745057697
1400 11.30507304835666
1500 9.192178250826831
1600 9.26601619012459
1700 11.98886464079355
1800 11.51926450526727
1900 8.820221948571076
2000 10.75046720230729
2100 11.25787740421994
2200 12.01409577897869
2300 10.2717613424737
2400 9.744410611841701
2500 10.48444348448523
2600 9.822218672676144
2700 9.969507787381088
2800 9.314343131034589
2900 9.661051314233468
3000 10.75104903217775
3100 11.35284421294782
3200 12.81440408963399
3300 10.60690568439655
3400 9.865459392159293
3500 9.746637140439073
3600 10.97024708108772
3700 10.21673908331872
3800 12.17191456339808
3900 12.77667291841292
4000 6.976616223100947
4100 9.367717856171577
4200 10.06678692063661
4300 9.140773634793941
4400 10.00168336950077
4500 9.502793549873925
4600 10.06947142027527
4700 11.34883712825783
4800 10.76593658297408
4900 11.43834529919341
5000 11.38351501665624
5100 11.39647568938231
5200 10.6606091451514
5300 12.18680356914986
5400 11.52438540732771
5500 9.835404965921057
5600 8.715577172767357
5700 7.590961735030496
5800 3.016461588847605
5900 9.139245999680849
6000 11.84451878351948
6100 11.60234438592152
6200 9.987584938450157
6300 10.69190316277597
6400 9.749218905334228
6500 11.91901812660133
6600 11.61089731979674
6700 12.31587099552043
6800 11.7991572763092
6900 11.51699653995036
7000 11.05998985282104
7100 11.8504743257077
7200 11.63915244113919
7300 10.78207583080244
7400 9.806928275191577
7500 10.02778930195498
7600 9.392691820127386
7700 11.4957291364451
7800 11.77090655602246
7900 9.293115523381474
8000 8.698792863894917
8100 11.63820028555407
8200 11.88465223515507
8300 12.19031177361387
8400 11.53572913979986
8500 11.8263818777638
8600 9.903090417054507
8700 12.64787325321165
8800 10.90104518669171
8900 11.10717643378123
9000 10.32577082136634
9100 10.58685011121592
9200 12.15845828254625
9300 12.65603448820095
9400 11.82568788568075
9500 11.71595606689613
9600 8.933174793927442
9700 11.47196293675444
9800 10.11264619963172
9900 12.40647625961906
10000 11.87310566122363
10100 12.44938908913293
10200 13.52899100047449
10300 10.01159242441614
10400 9.281498481040305
10500 9.88870249304917
10600 11.13372911448196
10700 8.005367002775492
10800 11.79894273207866
10900 11.45783340038435
11000 10.13655455215251
11100 11.8624472149996
11200 11.94746377433491
11300 11.29555291746267
11400 11.25925813651705
11500 10.34736712404638
11600 8.347364616651166
11700 10.47940135424922
11800 10.42149097656906
11900 11.43760244951293
12000 12.07854227572237
12100 12.0707151287069
12200 8.350207006376344
12300 9.198651678546515
12400 12.08339697222316
12500 10.57809107174622
12600 11.50362808308272
12700 11.59341476807216
12800 10.2825625497525
12900 10.37501088277997
13000 10.29801219299588
13100 9.428528929417936
13200 11.10873014049498
13300 11.1410134893529
13400 11.54978087141519
13500 12.08133291679111
13600 10.37958944485093
13700 11.65020287762119
13800 10.25979775086915
13900 8.660931417185502
14000 11.42890713535856
14100 12.14862027918447
14200 6.213165231680705
14300 7.938169721639387
14400 11.19270726524339
14500 9.149750323742831
14600 10.26154877436929
14700 10.76882015422603
14800 10.17399665692426
14900 12.55423915030243
15000 10.29225839283405
15100 12.11363312224645
