"Convergence history of Velocity Magnitude on yuanpian_0_0_5 (in SI units)"
"Iteration" "Facet Average Velocity Magnitude"
("Iteration" "Facet Average Velocity Magnitude")
100 9.595689394435238
200 10.12748252977611
300 9.454751935038985
400 9.598260484188426
500 9.324056305341989
600 9.269250029038689
700 9.665245025375462
800 9.334939213722562
900 9.572249549447037
1000 9.482909437536051
1100 9.606105633389166
1200 9.553647274917358
1300 9.355800369186277
1400 9.350474467874585
1500 9.305380216390988
1600 9.433802167968034
1700 9.51981911095743
1800 9.382458315960541
1900 9.246610768480133
2000 9.538780106726019
2100 9.549455269230979
2200 9.547458848435333
2300 9.631094224757755
2400 9.591268477578481
2500 9.421604563934952
2600 9.2076427711962
2700 9.904557234500961
2800 9.735913469556287
2900 9.566320233136757
3000 9.35521423852159
3100 9.418477037354362
3200 9.865087111503385
3300 9.515951689840824
3400 9.451658485497971
3500 9.192087629503394
3600 9.531817686004196
3700 9.30864506421781
3800 9.156641509999016
3900 9.422716801736676
4000 9.259394912168473
4100 9.370547842271462
4200 9.466010048150983
4300 9.2866511164233
4400 9.305557955737386
4500 9.536833073064713
4600 9.718300090457197
4700 9.098440447826361
4800 9.314677940836152
4900 9.47361284284047
5000 9.608904071713859
5100 9.47028719693316
5200 9.549797838835064
5300 9.417329959555561
5400 9.803059094978575
5500 9.902468663221672
5600 9.758446851990906
5700 9.36610290247326
5800 9.397778811633579
5900 9.440201145051224
6000 9.623639662270342
6100 9.397400133084407
6200 9.40160642954098
6300 9.408997746227142
6400 9.313725791484522
6500 10.11483451977517
6600 9.3728341046087
6700 10.08113467250364
6800 9.279572654038761
6900 9.506870931398083
7000 9.371720592932874
7100 9.596619708190577
7200 9.163486284152171
7300 9.449555959603449
7400 9.316681304636598
7500 9.564436916651731
7600 9.172017912075283
7700 9.663253564719012
7800 9.387196494722883
7900 9.216109351067093
8000 9.411169286363529
8100 9.93427134026096
8200 9.172060692545935
8300 9.422559400160104
8400 9.407835120832555
8500 9.440231426127976
8600 9.596814764657204
8700 9.425705254278947
8800 9.650510974275234
8900 9.590909179391783
9000 9.304215732952049
9100 9.328647889018692
9200 9.346575981328341
9300 9.342211501084972
9400 9.368287799711611
9500 9.036372552788793
9600 9.616999969864189
9700 9.380300209017346
9800 9.521353549538292
9900 9.465346927363713
10000 9.737070359015503
10100 9.77366090977281
10200 9.341050348577395
10300 9.476155446935934
10400 9.083550109655427
10500 9.44832017400377
10600 9.538864855033628
10700 9.91353925917856
10800 9.45403332093677
10900 9.482779482327457
11000 9.490592288571074
11100 9.403608192990179
11200 9.546213523682932
11300 9.648630035187706
11400 9.665360951377011
11500 9.418668613493667
11600 9.53026765182994
11700 9.507865474441648
11800 9.258534371025652
11900 9.473766601387235
12000 9.441260208676523
12100 9.826384127641003
12200 8.789515684775544
12300 9.214956579794574
12400 9.639840729464671
12500 9.704900139704078
12600 9.368409423888595
12700 9.522452623347592
12800 9.336751061966401
12900 10.01033541890538
13000 9.535104873288709
13100 9.358082270160859
13200 9.424704063731335
13300 9.193759826062255
13400 9.630275378049513
13500 9.371742952435524
13600 9.238270248371663
13700 9.18498093938463
13800 9.478454487665219
13900 9.24330529451324
14000 9.39893209568713
14100 9.140428861526379
14200 9.61979148772555
14300 9.411176052075307
14400 9.742061577027775
14500 9.435807455354764
14600 9.529806346689387
14700 9.347062030788168
14800 9.311481140828773
14900 9.333438660154403
15000 9.219036472524037
15100 10.22919346137908
